S. No.,State/ UT,Fine - Total Acc. - 2014,Fine - Persons Killed - 2014,Fine - Persons Injured - 2014,Mist/fog - Total Acc. - 2014,Mist/fog - Persons Killed - 2014,Mist/fog - Persons Injured - 2014,Cloudy - Total Acc. - 2014,Cloudy - Persons Killed - 2014,Cloudy - Persons Injured - 2014,Light rain - Total Acc. - 2014,Light rain - Persons Killed - 2014,Light rain - Persons Injured - 2014,Heavy rain - Total Acc. - 2014,Heavy rain - Persons Killed - 2014,Heavy rain - Persons Injured - 2014,Flooding of slipways/rivulers - Total Acc. - 2014,Flooding of slipways/rivulers - Persons Killed - 2014,Flooding of slipways/rivulers - Persons Injured - 2014,Hail/sleet - Total Acc. - 2014,Hail/sleet - Persons Killed - 2014,Hail/sleet - Persons Injured - 2014,snow - Total Acc. - 2014,snow - Persons Killed - 2014,snow - Persons Injured - 2014,Strong wind - Total Acc. - 2014,Strong wind - Persons Killed - 2014,Strong wind - Persons Injured - 2014,Dust storm - Total Acc. - 2014,Dust storm - Persons Killed - 2014,Dust storm - Persons Injured - 2014,Very hot - Total Acc. - 2014,Very hot - Persons Killed - 2014,Very hot - Persons Injured - 2014,Very cold - Total Acc. - 2014,Very cold - Persons Killed - 2014,Very cold - Persons Injured - 2014,Other extraordinary weather condition - Total Acc. - 2014,Other extraordinary weather condition - Persons Killed - 2014,Other extraordinary weather condition - Persons Injured - 2014,Fine/Clear - Total Accidents - 2016,Fine/Clear - Persons Killed - 2016,S. No.,State/ UT,Fine - Total Acc. - 2015,Fine - Persons Killed - 2015,Fine - Persons Injured - 2015,Mist/fog - Total Acc. - 2015,Mist/fog - Persons Killed - 2015,Mist/fog - Persons Injured - 2015,Cloudy - Total Acc. - 2015,Cloudy - Persons Killed - 2015,Cloudy - Persons Injured - 2015,Light rain - Total Acc. - 2015,S. No.,State/ UT,Fine - Total Acc. - 2015,Fine - Persons Killed - 2015,Fine - Persons Injured - 2015,Mist/fog - Total Acc. - 2015,Mist/fog - Persons Killed - 2015,Mist/fog - Persons Injured - 2015,Cloudy - Total Acc. - 2015,Cloudy - Persons Killed - 2015,,
1,Andhra Pradesh,14591,4586,17065,724,219,925,647,188,916,1104,368,1440,695,231,856,139,78,158,33,6,39,556,124,718,350,117,639,170,41,210,1264,467,1342,576,213,602,3591,1270,5021,18383,6311,2,Andhra Pradesh,1863.482927,1851.206272,1838.929617,1826.652962,1814.376307,1802.099652,1789.822997,1777.546341,1765.269686,1752.993031,2,Andhra Pradesh,1673.922184,1655.4612,1637.000216,1618.539232,1600.078249,1581.617265,1563.156281,1544.695298,,
2,Arunachal Pradesh,71,30,110,14,10,26,11,8,24,17,9,32,10,8,30,0,0,0,0,0,0,3,2,3,15,12,18,12,9,15,23,15,15,21,13,20,8,3,15,101,59,3,Arunachal Pradesh,16.49268293,16.35818815,16.22369338,16.08919861,15.95470383,15.82020906,15.68571429,15.55121951,15.41672474,15.28222997,3,Arunachal Pradesh,15.07317073,14.89384977,14.71452881,14.53520784,14.35588688,14.17656592,13.99724496,13.81792399,,
3,Assam,3575,1318,3216,494,150,368,285,100,290,320,104,277,189,64,197,17,5,14,3,0,3,6,3,0,107,44,73,17,12,7,170,51,197,72,13,92,1889,658,1765,3786,1337,4,Assam,484.4158537,482.7585366,481.1012195,479.4439024,477.7865854,476.1292683,474.4719512,472.8146341,471.1573171,469.5,4,Assam,437.0046458,433.7512627,430.4978797,427.2444967,423.9911136,420.7377306,417.4843476,414.2309645,,
4,Bihar,2343,1218,1626,1713,881,1081,438,203,316,721,344,481,609,328,423,228,122,140,85,44,51,31,17,13,382,174,313,352,146,273,959,484,734,762,413,530,933,539,659,2543,1554,5,Bihar,520.5585366,516.071777,511.5850174,507.0982578,502.6114983,498.1247387,493.6379791,489.1512195,484.6644599,480.1777003,5,Bihar,466.970964,460.7713854,454.5718067,448.3722281,442.1726494,435.9730708,429.7734922,423.5739135,,
5,Chhattisgarh,5000,1354,4584,382,149,376,863,216,789,1810,478,1670,718,194,725,107,41,127,84,25,67,85,43,79,177,68,197,198,72,207,1186,360,1051,791,232,710,2420,790,2575,7237,2078,6,Chhattisgarh,1118.95122,1125.41115,1131.87108,1138.33101,1144.790941,1151.250871,1157.710801,1164.170732,1170.630662,1177.090592,6,Chhattisgarh,1019.415796,1022.178214,1024.940631,1027.703049,1030.465467,1033.227885,1035.990303,1038.752721,,
6,Goa,3556,257,1585,0,0,0,27,6,17,417,19,195,222,8,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,0,1,3775,298,7,Goa,122.8707317,116.5602787,110.2498258,103.9393728,97.62891986,91.3184669,85.00801394,78.69756098,72.38710801,66.07665505,7,Goa,105.524971,98.82956541,92.13415985,85.43875429,78.74334873,72.04794317,65.35253761,58.65713205,,
7,Gujarat,15008,4876,14431,643,176,639,1066,387,915,1520,564,1273,815,276,834,116,30,141,31,17,39,84,42,70,277,120,298,441,158,365,1255,449,1085,932,325,916,1524,535,1487,15591,5538,8,Gujarat,1047.371951,1009.803136,972.2343206,934.6655052,897.0966899,859.5278746,821.9590592,784.3902439,746.8214286,709.2526132,8,Gujarat,910.815331,869.7934527,828.7715744,787.7496961,746.7278178,705.7059396,664.6840613,623.662183,,
8,Haryana,5519,2043,5261,724,263,716,310,160,194,511,191,442,300,143,162,242,136,122,240,135,87,0,0,0,246,135,46,264,176,130,393,196,271,446,240,351,1481,665,1162,4602,2010,9,Haryana,438.7597561,423.9794425,409.1991289,394.4188153,379.6385017,364.8581882,350.0778746,335.297561,320.5172474,305.7369338,9,Haryana,383.0499419,366.8418551,350.6337682,334.4256813,318.2175945,302.0095076,285.8014207,269.5933339,,
9,Himachal Pradesh,2070,736,3635,90,45,232,195,96,482,134,54,221,86,27,138,0,0,0,0,0,0,31,15,68,0,0,0,0,0,0,126,56,242,129,54,187,197,116,371,2835,1116,10,Himachal Pradesh,176.1560976,168.5351916,160.9142857,153.2933798,145.6724739,138.0515679,130.430662,122.8097561,115.1888502,107.5679443,10,Himachal Pradesh,152.7108014,144.5378819,136.3649623,128.1920428,120.0191232,111.8462037,103.6732842,95.50036464,,
10,Jammu & Kashmir,5290,816,7297,16,7,19,79,26,51,66,21,45,90,32,58,0,0,0,0,0,0,100,27,52,0,0,0,0,0,0,0,0,0,0,0,0,220,63,521,4092,729,11,Jammu & Kashmir,-73.00365854,-99.38013937,-125.7566202,-152.133101,-178.5095819,-204.8860627,-231.2625436,-257.6390244,-284.0155052,-310.3919861,11,Jammu & Kashmir,-91.37979094,-117.4771899,-143.5745888,-169.6719877,-195.7693866,-221.8667855,-247.9641844,-274.0615833,,
11,Jharkhand,1249,751,988,478,199,330,510,218,403,484,235,389,488,252,400,18,8,20,48,28,20,2,0,18,145,54,112,195,92,230,392,180,275,354,183,309,838,428,862,1617,752,12,Jharkhand,358.85,359.0344948,359.2189895,359.4034843,359.5879791,359.7724739,359.9569686,360.1414634,360.3259582,360.510453,12,Jharkhand,326.0011614,325.0333306,324.0654998,323.097669,322.1298382,321.1620074,320.1941766,319.2263458,,
12,Karnataka,27346,6533,34052,1236,245,1899,1696,392,3091,2726,639,3396,1827,464,2338,61,1,49,10,2,12,172,42,214,143,53,196,263,46,309,1521,418,2891,1026,303,1305,5686,1314,7079,28269,7298,13,Karnataka,1821.247561,1737.749477,1654.251394,1570.75331,1487.255226,1403.757143,1320.259059,1236.760976,1153.262892,1069.764808,13,Karnataka,1565.535424,1476.029873,1386.524323,1297.018772,1207.513222,1118.007671,1028.50212,938.9965697,,
13,Kerala,28138,3257,31627,477,28,561,1239,90,1655,3489,388,4020,2903,286,3196,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30689,3448,14,Kerala,183.1780488,57.68013937,-67.81777003,-193.3156794,-318.8135889,-444.3114983,-569.8094077,-695.3073171,-820.8052265,-946.3031359,14,Kerala,41.56794425,-84.49201847,-210.5519812,-336.6119439,-462.6719067,-588.7318694,-714.7918321,-840.8517948,,
14,Madhya Pradesh,39335,6262,41623,2228,215,920,1436,342,2203,2655,337,2562,1086,266,1267,0,0,0,214,25,184,21,0,37,44,20,98,235,88,209,912,217,860,720,133,702,4586,664,4670,40433,7046,15,Madhya Pradesh,1428.57561,1305.133798,1181.691986,1058.250174,934.8083624,811.3665505,687.9247387,564.4829268,441.041115,317.5993031,15,Madhya Pradesh,1170.507549,1042.369473,914.2313967,786.0933204,657.955244,529.8171677,401.6790914,273.541015,,
15,Maharashtra,55186,11099,36257,290,79,253,755,161,845,1465,303,998,359,77,303,24,4,32,0,0,0,0,0,0,16,5,18,320,101,255,434,132,238,262,88,232,2516,754,1024,35350,11584,16,Maharashtra,154.8597561,-25.70905923,-206.2778746,-386.8466899,-567.4155052,-747.9843206,-928.5531359,-1109.121951,-1289.690767,-1470.259582,16,Maharashtra,-38.93379791,-219.9639413,-400.9940848,-582.0242282,-763.0543716,-944.084515,-1125.114658,-1306.144802,,
16,Manipur,228,72,379,38,6,66,33,5,61,90,13,160,96,19,156,17,4,25,18,2,28,7,1,15,46,6,75,29,2,47,55,14,99,20,6,51,66,18,133,318,61,17,Manipur,44.85487805,43.98850174,43.12212544,42.25574913,41.38937282,40.52299652,39.65662021,38.7902439,37.9238676,37.05749129,17,Manipur,41.33565621,40.37673878,39.41782135,38.45890392,37.49998649,36.54106907,35.58215164,34.62323421,,
17,Meghalaya,43,7,33,44,12,28,57,19,28,27,8,12,98,41,41,42,10,21,0,0,0,28,9,16,13,4,7,0,0,0,0,0,0,25,3,16,165,28,109,344,73,18,Meghalaya,61.65609756,62.9533101,64.25052265,65.54773519,66.84494774,68.14216028,69.43937282,70.73658537,72.03379791,73.33101045,18,Meghalaya,58.79558653,59.9477622,61.09993788,62.25211355,63.40428923,64.5564649,65.70864057,66.86081625,,
18,Mizoram,88,76,174,14,10,20,0,0,0,30,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,69,19,Mizoram,-3.009756098,-3.873170732,-4.736585366,-5.6,-6.463414634,-7.326829268,-8.190243902,-9.053658537,-9.917073171,-10.7804878,19,Mizoram,-1.777003484,-2.567296005,-3.357588526,-4.147881047,-4.938173568,-5.728466089,-6.51875861,-7.30905113,,
19,Nagaland,251,63,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,58,47,26,20,Nagaland,-3.997560976,-4.98815331,-5.978745645,-6.969337979,-7.959930314,-8.950522648,-9.941114983,-10.93170732,-11.92229965,-12.91289199,20,Nagaland,-2.702671312,-3.613537531,-4.524403749,-5.435269967,-6.346136186,-7.257002404,-8.167868622,-9.078734841,,
20,Orissa,3713,1592,3930,670,259,749,691,300,861,1101,396,1273,836,341,983,114,26,131,47,22,66,31,12,35,139,61,184,184,77,242,525,215,617,442,159,557,1155,471,1459,4831,2092,21,Orissa,603.3560976,595.3986063,587.441115,579.4836237,571.5261324,563.5686411,555.6111498,547.6536585,539.6961672,531.738676,21,Orissa,539.9361208,530.0438916,520.1516625,510.2594333,500.3672042,490.474975,480.5827459,470.6905167,,
